Record Id,Provider No,PROPCO Owner Type,Affiliated Entity Name,Description,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000313071,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497184,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497185,445513,Private Owner <2,,Sonya Kemp = Owner/Operator,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497187,39E579,,,Not found in CMS ~ Delicensed/Closed,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497188,445187,Private Equity Owned,AMERICAN HEALTH COMMUNITIES,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497189,new1,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497190,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497191,11A186,"Government (Vet, County)",,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497192,3700 N 33407,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497193,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497194,345450,,CONSULATE HEALTH CARE/INDEPENDENCE LIVING CENTERS/NSPIRE HEALTHCARE/RAYDIANT HEALTH CARE,omega bought in oct 2024,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497195,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497196,39A433,"Government (Vet, County)",,Ownership Data not available,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497197,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497198,345521,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497199,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497200,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497201,new36,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497203,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497204,,,,,,,,,,,,,,,,,,,,,,,,,,,
zcrm_4594564000000497205,345264,Non Profit,,Ronnie Ensley = RA,,,,,,,,,,,,,,,,,,,,,,,
